N_unmapped	274454	274454	274454
N_multimapping	2721091	2721091	2721091
N_noFeature	1605451	12461038	12855204
N_ambiguous	2371538	689743	614504
ENSG00000160072	1945	982	963
ENSG00000234396	5	4	4
ENSG00000225972	26	8	18
ENSG00000224315	0	0	0
ENSG00000198744	25	15	10
ENSG00000279928	0	0	0
ENSG00000228037	103	54	49
ENSG00000142611	15	7	8
ENSG00000225630	521	347	174
ENSG00000284616	0	0	0
ENSG00000157911	88	690	710
ENSG00000269896	22	13	9
ENSG00000237973	261	195	120
ENSG00000228463	2	2	2
ENSG00000260972	0	0	0
ENSG00000157933	290	128	162
ENSG00000224340	0	0	0
ENSG00000226545	0	0	0
ENSG00000268663	0	0	0
ENSG00000226374	0	0	0
ENSG00000229280	0	0	0
ENSG00000142655	356	180	199
ENSG00000232596	0	0	0
ENSG00000235054	0	0	0
ENSG00000232663	0	0	0
ENSG00000240409	0	0	0
ENSG00000229344	18	20	16
ENSG00000231510	0	0	0
ENSG00000149527	117	53	64
ENSG00000284739	0	0	0
ENSG00000171621	1480	729	751
ENSG00000272235	9	2	7
ENSG00000284694	0	0	0
ENSG00000230021	0	11	12
ENSG00000287356	6	6	7
ENSG00000224387	4	2	2
ENSG00000285629	0	0	0
ENSG00000173673	0	0	0
ENSG00000142583	295	153	142
ENSG00000284674	0	0	0
ENSG00000272161	0	0	0
ENSG00000237094	2	2	0
ENSG00000224338	1	1	0
ENSG00000074800	17604	8580	9024
ENSG00000116786	871	510	434
ENSG00000287727	0	0	0
ENSG00000228423	1	0	1
ENSG00000286448	0	2	0
ENSG00000131686	0	1	0
ENSG00000229305	0	0	0
ENSG00000284703	0	0	0
ENSG00000226457	3	3	0
ENSG00000173614	673	322	352
ENSG00000248527	23667	16772	6895
ENSG00000215720	1	0	1
ENSG00000241326	0	0	0
ENSG00000233623	1	1	0
ENSG00000162592	0	0	1
ENSG00000116254	7	2	5
ENSG00000233645	0	0	0
ENSG00000204624	3	2	1
ENSG00000142606	35	238	287
ENSG00000235146	0	0	0
ENSG00000225931	3	1	2
ENSG00000171729	386	176	212
ENSG00000279457	33	16	17
ENSG00000162571	8	7	5
ENSG00000229393	1	1	0
ENSG00000037637	336	178	158
ENSG00000287586	0	0	0
ENSG00000159423	287	137	150
ENSG00000142599	863	371	492
ENSG00000227169	0	0	0
ENSG00000283356	0	0	0
ENSG00000011021	267	159	134
ENSG00000142615	0	0	0
ENSG00000215704	0	1	9
ENSG00000157916	2468	1957	1823
ENSG00000157881	380	202	178
ENSG00000238290	4	3	1
ENSG00000225387	0	0	0
ENSG00000048707	604	295	309
ENSG00000158748	2	0	2
ENSG00000225196	0	0	0
ENSG00000162444	77	29	48
ENSG00000279625	0	0	0
ENSG00000180758	248	115	133
ENSG00000184677	376	186	190
ENSG00000230679	7	1	6
ENSG00000270136	0	0	0
ENSG00000288398	95	47	48
ENSG00000224621	9	5	4
ENSG00000285833	0	0	0
ENSG00000131697	160	89	71
ENSG00000284692	0	0	0
ENSG00000284745	0	0	0
ENSG00000280222	0	0	0
ENSG00000227634	0	0	0
ENSG00000285945	1	0	1
